id,location,search_term,state,slug
38,Port Macquarie,holiday parks Port Macquarie NSW,NSW,port-macquarie
39,Forster,holiday parks Forster NSW,NSW,forster
40,Newcastle,holiday parks Newcastle NSW,NSW,newcastle
41,Central Coast,holiday parks Central Coast NSW,NSW,central-coast
42,Sydney,holiday parks Sydney NSW,NSW,sydney
43,Jervis Bay,holiday parks Jervis Bay NSW,NSW,jervis-bay
44,Ulladulla,holiday parks Ulladulla NSW,NSW,ulladulla
45,Batemans Bay,holiday parks Batemans Bay NSW,NSW,batemans-bay
46,Merimbula,holiday parks Merimbula NSW,NSW,merimbula
47,Eden,holiday parks Eden NSW,NSW,eden
48,Shoalhaven,holiday parks Shoalhaven NSW,NSW,shoalhaven
49,Kiama,holiday parks Kiama NSW,NSW,kiama
50,Wollongong,holiday parks Wollongong NSW,NSW,wollongong
51,Blue Mountains,holiday parks Blue Mountains NSW,NSW,blue-mountains
52,Hunter Valley,holiday parks Hunter Valley NSW,NSW,hunter-valley
53,Port Stephens,holiday parks Port Stephens NSW,NSW,port-stephens
54,Seal Rocks,holiday parks Seal Rocks NSW,NSW,seal-rocks
55,South West Rocks,holiday parks South West Rocks NSW,NSW,south-west-rocks
56,Nambucca Heads,holiday parks Nambucca Heads NSW,NSW,nambucca-heads
57,Tweed Coast,holiday parks Tweed Coast NSW,NSW,tweed-coast
58,Hawkesbury,holiday parks Hawkesbury NSW,NSW,hawkesbury
59,Snowy Mountains,holiday parks Snowy Mountains NSW,NSW,snowy-mountains
60,Mudgee,holiday parks Mudgee NSW,NSW,mudgee
63,Great Ocean Road,holiday parks Great Ocean Road Victoria,VIC,great-ocean-road
64,Lorne,holiday parks Lorne Victoria,VIC,lorne
65,Apollo Bay,holiday parks Apollo Bay Victoria,VIC,apollo-bay
66,Torquay,holiday parks Torquay Victoria,VIC,torquay
67,Phillip Island,holiday parks Phillip Island Victoria,VIC,phillip-island
68,Mornington Peninsula,holiday parks Mornington Peninsula Victoria,VIC,mornington-peninsula
69,Lakes Entrance,holiday parks Lakes Entrance Victoria,VIC,lakes-entrance
70,Inverloch,holiday parks Inverloch Victoria,VIC,inverloch
71,Wilsons Promontory,holiday parks Wilsons Promontory Victoria,VIC,wilsons-promontory
72,Ballarat,holiday parks Ballarat Victoria,VIC,ballarat
73,Bendigo,holiday parks Bendigo Victoria,VIC,bendigo
74,Echuca,holiday parks Echuca Victoria,VIC,echuca
75,Bright,holiday parks Bright Victoria,VIC,bright
76,Gippsland,holiday parks Gippsland Victoria,VIC,gippsland
77,Port Fairy,holiday parks Port Fairy Victoria,VIC,port-fairy
78,Warrnambool,holiday parks Warrnambool Victoria,VIC,warrnambool
80,Healesville,holiday parks Healesville Victoria,VIC,healesville
81,Daylesford,holiday parks Daylesford Victoria,VIC,daylesford
82,Adelaide,holiday parks Adelaide South Australia,SA,adelaide
83,Goolwa,holiday parks Goolwa South Australia,SA,goolwa
84,Victor Harbor,holiday parks Victor Harbor South Australia,SA,victor-harbor
85,Kangaroo Island,holiday parks Kangaroo Island South Australia,SA,kangaroo-island
86,Clare Valley,holiday parks Clare Valley South Australia,SA,clare-valley
87,Barossa Valley,holiday parks Barossa Valley South Australia,SA,barossa-valley
88,Port Lincoln,holiday parks Port Lincoln South Australia,SA,port-lincoln
89,Flinders Ranges,holiday parks Flinders Ranges South Australia,SA,flinders-ranges
90,Yorke Peninsula,holiday parks Yorke Peninsula South Australia,SA,yorke-peninsula
91,Eyre Peninsula,holiday parks Eyre Peninsula South Australia,SA,eyre-peninsula
92,Mount Gambier,holiday parks Mount Gambier South Australia,SA,mount-gambier
93,Robe,holiday parks Robe South Australia,SA,robe
94,Margaret River,holiday parks Margaret River Western Australia,WA,margaret-river
95,Busselton,holiday parks Busselton Western Australia,WA,busselton
96,Dunsborough,holiday parks Dunsborough Western Australia,WA,dunsborough
97,Perth,holiday parks Perth Western Australia,WA,perth
98,Mandurah,holiday parks Mandurah Western Australia,WA,mandurah
99,Exmouth,holiday parks Exmouth Western Australia,WA,exmouth
100,Broome,holiday parks Broome Western Australia,WA,broome
101,Albany,holiday parks Albany Western Australia,WA,albany
102,Esperance,holiday parks Esperance Western Australia,WA,esperance
103,Coral Bay,holiday parks Coral Bay Western Australia,WA,coral-bay
104,Pemberton,holiday parks Pemberton Western Australia,WA,pemberton
105,Geraldton,holiday parks Geraldton Western Australia,WA,geraldton
106,Kalbarri,holiday parks Kalbarri Western Australia,WA,kalbarri
107,Denmark,holiday parks Denmark Western Australia,WA,denmark
108,Darwin,holiday parks Darwin Northern Territory,NT,darwin
109,Kakadu,holiday parks Kakadu Northern Territory,NT,kakadu
110,Alice Springs,holiday parks Alice Springs Northern Territory,NT,alice-springs
111,Hobart,holiday parks Hobart Tasmania,TAS,hobart
112,Launceston,holiday parks Launceston Tasmania,TAS,launceston
113,East Coast Tasmania,holiday parks East Coast Tasmania,TAS,east-coast-tasmania
114,Freycinet,holiday parks Freycinet Tasmania,TAS,freycinet
115,Cradle Mountain,holiday parks Cradle Mountain Tasmania,TAS,cradle-mountain
116,Canberra,holiday parks Canberra ACT,ACT,canberra
